Order ID,First Name,Last Name,Email,Region,Sales Channel,Product Category,Product Name,Sales_Q1,Sales_Q2,Sales_Q3,Sales_Q4
ORD0,john,tan ,john0@email.com,N/A,Social Media,Furniture,Desk|White|Large,485,399,1103,1857
ORD1,michael,Smith,michael1@email.com,,store,electronics,Laptop|Grey|512GB,158,190,279,188
ORD0,SARAH,tan ,sarah2@email.com,South,STORE,Electronics,Chair / Brown / Standard,508,594,1375,1808
ORD3,ALICE,Smith,alice3@email.com,North,ONLINE,Electronics,Chair / Brown / Standard,502,390,952,1251
ORD4,bob,Lim,bob4@email.com,East,online,ELECTRONICS ,Chair / Brown / Standard,928,50,333,1072
ORD1,Jane,Wong,jane5@email.com,,online,Home Furniture,Chair / Brown / Standard,276,896,174,944
ORD6,SARAH,LEE,sarah6@email.com,North,ONLINE,furniture,Phone - Black - 128GB,478,99,1188,216
ORD2,bob,LEE,bob7@email.com,,Store ,electronics,Tablet - Silver - 64GB,166,879,858,327
ORD8,Jane,Smith,jane8@email.com,South,Social Media,ELECTRONICS ,Desk|White|Large,984,854,198,1620
ORD3,michael,Lim,michael9@email.com,East,Online ,Home Furniture,Laptop|Grey|512GB,52,488,576,1747
ORD10,michael,tan ,michael10@email.com,,Online ,furniture,Phone - Black - 128GB,784,980,1498,242
ORD3,Jane,Smith,jane11@email.com,West,STORE,Electronics,Laptop|Grey|512GB,514,665,61,1555
ORD4,SARAH,tan ,sarah12@email.com,North,online,Furniture,Chair / Brown / Standard,542,973,473,598
ORD4,john,LEE,john13@email.com,West,ONLINE,Electronics,Desk|White|Large,857,496,1431,701
ORD4,SARAH,Smith,sarah14@email.com,N/A,store,ELECTRONICS ,Desk|White|Large,763,391,863,1332
ORD15,SARAH,Smith,sarah15@email.com,N/A,ONLINE,furniture,Tablet - Silver - 64GB,112,162,583,1835
ORD16,michael,doe,michael16@email.com,North,Store ,Furniture,Chair / Brown / Standard,195,849,1266,1403
ORD17,bob,doe,bob17@email.com,N/A,store,ELECTRONICS ,Desk|White|Large,508,381,987,1170
ORD18,SARAH,tan ,sarah18@email.com,,online,Electronic,Desk|White|Large,502,1099,362,887
ORD19,john,Smith,john19@email.com,,STORE,Home Furniture,Desk|White|Large,877,815,1377,505
ORD20,john,Smith,john20@email.com,North,STORE,ELECTRONICS ,Phone - Black - 128GB,727,820,813,335
ORD21,bob,doe,bob21@email.com,East,Store ,ELECTRONICS ,Chair / Brown / Standard,250,284,918,1490
ORD22,SARAH,Lim,sarah22@email.com,,online,furniture,Chair / Brown / Standard,444,704,566,1672
ORD7,SARAH,tan ,sarah23@email.com,East,Store ,ELECTRONICS ,Phone - Black - 128GB,542,512,1164,1578
ORD8,michael,Wong,michael24@email.com,East,Online ,FURN,Chair / Brown / Standard,353,1028,1061,1572
ORD8,bob,Smith,bob25@email.com,N/A,store,electronics,Chair / Brown / Standard,441,566,913,927
ORD8,michael,Lim,michael26@email.com,,Store ,Furn ,Laptop|Grey|512GB,157,755,385,1469
ORD9,michael,Wong,michael27@email.com,,online,FURN,Desk|White|Large,532,95,1107,899
ORD28,Jane,tan ,jane28@email.com,West,STORE,Furn ,Laptop|Grey|512GB,881,457,776,430
ORD29,michael,tan ,michael29@email.com,,Social Media,ELECTRONICS ,Tablet - Silver - 64GB,502,1181,470,1631
